Star,Constellation,Right,Declination,Apparent,Distance (ly),Spectral,Mass,Temperature (K),Age,Confirmed,Notes
,,ascension,,magnitude,,type,(M☉),,(Gyr),(unconfirmed),
,,,,,,,,,,planets,
Kepler-1641,Cygnus,19h 45m 26.3s,+41° 34′ 28″,,3134,,1.12,6152,unknown,2,-
Kepler-603,Cygnus,19h 37m 07.4s,+42° 17′ 27″,,3134,,1.01,5808,unknown,3,-
Kepler-616,Cygnus,19h 39m 57.4s,+46° 50′ 18″,,3324,,0.98,5753,unknown,2,-
Kepler-1065,Cygnus,19h 38m 02.7s,+38° 47:26′,,3516,,0.94,5635,unknown,2,-
Kepler-619,Cygnus,19h 23m 23.8s,+48° 24′ 58″,,3623,,1.09,5980,unknown,2,-
Kepler-610,Cygnus,19h 32m 41.1s,+45° 03′ 56″,,3630,,1.1,5943,unknown,2,-
Kepler-1468,Cygnus,19h 34m 04.8s,+41° 16′ 39″,,3686,,1.04,5893,unknown,2,-
Kepler-70,Cygnus,19h 45m 25s,41° 05′ 34″,14.87,3849,sdB,0.496,27730,0.018,2 (1),-
Kepler-750,Cygnus,19h 16m 23.2s,+44° 00′ 16″,,3852,,1.15,6160,unknown,2,-
Kepler-24,Lyra,19h 21m 39.18s,+38° 20′ 37.51″,14.925,3910,,1.03,5800,unknown,4,-
Kepler-1016,Cygnus,19h 38m 27.3s,+45° 59′ 05″,,4041,,0.99,5821,unknown,2,-
Kepler-758,Cygnus,19h 32m 20.3s,+41° 08′ 08″,,4413,,1.16,6228,unknown,4,-
Kepler-722,Cygnus,19h 21m 03.2s,+44° 33′ 23″,,4485,,1.03,5863,unknown,2,-
Kepler-30,Lyra,19h 01m 08.07s,+38° 56′ 50.21″,15.403,4560,,0.99,5498,unknown,3,
OGLE-2006-BLG-109L,Sagittarius,17h 52m 35.22s,−30° 05′ 15.7″,19.87,4850,M1V,0.513,3998,6.315,2,-
Kepler-1129,Lyra,19h 26m 25.1s,+41° 18′ 34″,,4103,,1,5831,unknown,2,-
Kepler-769,Cygnus,19h 30m 51.1s,+38° 21′ 30″,,4442,,1.19,6186,unknown,2,-
Kepler-937,Cygnus,19h 36m 40.5s,+46° 42′ 53″,,4834,,1.15,6095,unknown,2,-
Kepler-47,Cygnus,19h 41m 11.5s,+46° 55′ 13.69″,15.178,3442,G,1.043,5636(A),4.5,3,Circumbinary planets
,,,,,,M,,(B is unknown),,,
Kepler-1154,Cygnus,19h 49m 54.5s,+39° 52′ 38″,,4993,,1.26,6327,unknown,2,
Kepler-19,Cygnus,19h 21m 41s,+37° 51′ 06″,15.178,717,,0.936,5541,1.9,3,
OGLE-2012-BLG-0026L,Ophiuchus,17h 34m 19s,−27° 08′ 34″,,13300,G5 V,0.82,unknown,unknown,2,
Star,Constellation,Right,Declination,Apparent,Distance (ly),Spectral,Mass,Temperature (K),Age,Confirmed,Notes
,,ascension,,magnitude,,type,(M☉),,(Gyr),(unconfirmed),
,,,,,,,,,,planets,
Kepler-33,Lyra,19h 16m 18.61s,+46° 00′ 18.8″,13.988,4090,G1IV,1.164,5849,4.27,5,
Kepler-89,Cygnus,19h 49m 20.0s,+41° 53′ 28″,12.4,1580,F8V,1.25,6116,3.9,4,Hints of additional planets [3]
Kepler-18,Cygnus,19h 52m 19.06s,+44° 44′ 46.76″,13.549,1430,G7V,0.97,5345,10,3,
Kepler-25,Lyra,19h 06m 33.0s,+39° 29′ 16″,11,799,F,1.22,6190,unknown,3,
Kepler-26,Lyra,18h 59m 46s,+46° 34′ 00″,16,1100,KV,0.65,4500,unknown,3 (1),
Kepler-27,Cygnus,19h 28m 56.82s,+41° 05′ 9.15″,15.855,3500,G5V,0.65,5400,unknown,2 (1),
Kepler-28,Cygnus,19h 28m 32.89s,+42° 25′ 45.91″,15.036,1450,M0V,0.75,4590,unknown,2,
Kepler-48,Cygnus,19h 56m 33.41s,+40° 56′ 56.47″,13.04,,,0.89,5190,unknown,4,
Kepler-49,Cygnus,19h 29m 11.0s,+40° 35′ 30″,15.5,,,0.55,3974,unknown,4,
Kepler-50,Cygnus,19h 12m 24.21s,+50° 02′ 01.38″,10.421,,,1.23,6058,unknown,2,
Kepler-51,Cygnus,19h 45m 55.0s,+49° 56′ 16″,15,2610,GV,1,5803,unknown,3,
Kepler-52,Draco,19h 06m 57.0s,+49° 58′ 33″,15.5,,,0.54,4075,unknown,3,
Kepler-53,Lyra,19h 21m 51.0s,+40° 33′ 45″,16,,,0.98,5858,unknown,3,
Kepler-54,Cygnus,19h 39m 06.0s,+43° 03′ 23″,16.3,,,0.51,3705,unknown,3,
Kepler-55,Lyra,19h 00m 40.0s,+44° 01′ 35″,16.3,,,0.62,4362,unknown,5,
Kepler-56,Cygnus,19h 35m 02.0s,+41° 52′ 19″,13,3060,G0,1.32,4840,3.5,3,
Kepler-57,Cygnus,19h 34m 33.91s,+44° 39′ 25.34″,14.809,,,0.83,5145,unknown,2,
Kepler-58,Cygnus,19h 45m 26.0s,+39° 06′ 55″,15.3,,,0.95,5843,unknown,3,
Kepler-59,Lyra,19h 08m 09.48s,+46° 38′ 24.46″,14.307,,,1.04,6074,unknown,2,
Kepler-60,Cygnus,19h 15m 50.70s,+42° 15′ 54.04″,13.959,,,1.11,5915,unknown,3,
Kepler-79,Cygnus,20h 02m 04.11s,+44° 22′ 53.69″,13.914,,,1.1,6187,unknown,4,
Kepler-81,Cygnus,19h 34m 32.9s,+42° 49′ 30″,15.56,,,0.648,4391,unknown,3,
Kepler-82,Cygnus,19h 31m 29.61s,+42° 57′ 58.09″,15.158,,,0.85,5512,unknown,4,
Kepler-83,Lyra,18h 48m 55.8s,+43° 39′ 56″,16.51,,,0.664,4164,unknown,3,
Kepler-84,Cygnus,19h 53m 00.49s,+40° 29′ 45.87″,14.764,4700,G3,1,5755,unknown,5,
Kepler-85,Cygnus,19h 23m 54.0s,+45° 17′ 25″,15,,,0.95,5666,unknown,4,
Kepler-87,Cygnus,19h 51m 40.0s,+46° 57′ 54″,15,,,1.1,5600,7.5,2 (1),
Kepler-93,Lyra,19h 25m 40.39s,+38° 40′ 20.48″,9.931,,G5V,0.91,5669,unknown,2,
Kepler-94,Lyra,18h 44m 46.7s,+47° 29′ 50″,12.895,,,0.81,4781,1.41,2,
Kepler-97,Cygnus?,19h 09m 18.39s,+48° 40′ 24.35″,12.872,,,0.94,5779,unknown,2,
Kepler-101,Draco,18h 53m 01.32s,+48° 21′ 18.82″,,,,1.12,5570,unknown,2,
Kepler-102,Lyra,18h 45m 55.9s,+47° 12′ 29″,11.492,340,,0.81,4809,1.41,5,
Kepler-106,Cygnus,20h 03m 27.4s,+44° 20′ 15″,12.882,,,1,5858,4.83,4,
Kepler-113,Cygnus,19h 11m 59.5s,+50° 56′ 40″,13.461,,,0.75,4725,6.89,2,
Kepler-114,Cygnus,19h 36m 29.0s,+48° 20′ 58″,13.7,,,0.71,4450,unknown,3,
Kepler-122,,19h 24m 26.9s,+39° 56′ 57″,,,,0.99,6050,unknown,4,
Kepler-128,Lyra,18h 49m 58.0s,+43° 58′ 49″,11.4,,,1.17,6013,unknown,2,
Kepler-131,Lyra,19h 14m 07.4s,+40° 56′ 32″,11.525,,,1.02,5685,3.66,2,
Kepler-138,Lyra,19h 21m 32.0s,+43° 17′ 35″,13.5,218.5,M1V,0.57,3871,unknown,3,
Kepler-145,Cygnus,19h 25m 33.0s,+44° 31′ 45″,11.9,,,1.26,6207,unknown,2,
Kepler-169,,19h 03m 60.0s,+40° 55:10′,12.186,,,0.86,4997,unknown,5,
Kepler-177,Lyra,19h 04m 11.0s,+45° 03′ 12″,15,,,0.93,5942,unknown,2,
Kepler-238,Lyra,19h 11m 35s,+40° 38′ 16″,15.084,,G5,1.43,5614,unknown,5,
Kepler-276,Cygnus,19h 34m 16s,+39° 02′ 11″,15.368,,,0.96,5812,unknown,3,
Kepler-277,Lyra,19h 06m 20.0s,+39° 04′ 38″,13.4,,,1.19,6306,unknown,2,
Kepler-279,Lyra,19h 09m 34.0s,+42° 11′ 42″,13.7,,,1.23,6562,unknown,3,
Kepler-282,Lyra,18h 58m 43.0s,+44° 47′ 51″,15.2,,,1.09,5876,unknown,4,
Kepler-292,,19h 43m 03.84s,+43° 25′ 27.4″,13.97,,K0,0.88,5299,unknown,5,
Kepler-296,Lyra,19h 06m 09.6s,+49° 26′ 14.4″,12.6,,K+K,unknown,4249,unknown,5,
Kepler-305,Cygnus,19h 56m 53.83s,+40° 20′ 35.46″,15.812,,,0.76,4918,unknown,3 (1),
Kepler-307,Cygnus,19h 51m 10.83s,+40° 25′ 03.73″,14.072,,,0.98,5445,unknown,2,
Kepler-328,Cygnus,19h 43m 14.23s,+40° 00′ 30.61″,15.674,,,1.15,5914,unknown,2,
Kepler-350,Lyra,19h 01m 41.0s,+39° 42′ 22″,13.8,,,1.03,6215,unknown,3,
Kepler-396,Cygnus,19h 44m 31.87s,+48° 58′ 38.65″,11.921,,,0.85,5384,unknown,2,
Kepler-406,Cygnus,19h 27m 23.5s,+44° 58′ 06″,12.52,,,1.07,5538,5.84,2,
Kepler-411,Cygnus,19h 10m 25.3s,+49° 31′ 24″,12.5,,,0.83,4974,unknown,4,
Kepler-460,Lyra,19h 13m 54.0s,+40° 39′ 05″,14.2,,,1.07,6340,unknown,2,
Kepler-458,Cygnus,19h 48m 10.9s,+46° 19′ 43″,,,,0.98,6065,unknown,2,
Kepler-154,Cygnus,19h 19m 07.3s,+49° 53′ 48″,,,,0.89,5690,unknown,5,
Kepler-304,Cygnus,19h 37m 46.0s,+40° 33′ 27″,,,,0.8,4731,unknown,4,
Kepler-351,Lyra,19h 05m 48.6s,+42° 39′ 28″,,,,0.89,5643,unknown,3,
Kepler-166,Cygnus,19h 32m 38.4s,+48° 52′ 52″,,,,unknown,5413,unknown,3,
Kepler-157,Lyra,19h 24m 23.3s,+38° 52′ 32″,,,,unknown,5774,unknown,3,
Kepler-342,Cygnus,19h 24m 23.3s,+38° 52′ 32″,,,,1.13,6175,unknown,4,
Kepler-148,Cygnus,19h 19m 08.7s,+46° 51′ 32″,,,,unknown,5272,unknown,3,
Kepler-132,Lyra,18h 52m 56.6s,+41° 20′ 35″,,,,unknown,6003,unknown,4,
Kepler-403,Cygnus,19h 19m 41.1s,+46° 44′ 40″,,,,unknown,6090,unknown,3,
Kepler-401,Cygnus,19h 20m 19.9s,+50° 51′ 49″,,,,unknown,6117,unknown,3,
Kepler-398,Lyra,19h 25m 52.5s,+40° 20′ 38″,,,,unknown,4493,unknown,3,
Kepler-271,Lyra,18h 52m 00.7s,+44° 17′ 03″,,,,unknown,5524,unknown,3,
Kepler-255,Cygnus,19h 44m 15.4s,+45° 58′ 37″,,,,0.97,5573,unknown,3,
Kepler-245,Cygnus,19h 26m 33.4s,+42° 26′ 11″,,,,0.8,5100,unknown,4,
Kepler-218,Cygnus,19h 41m 39.1s,+46° 15′ 59″,,,,unknown,5502,unknown,3,
Kepler-217,Cygnus,19h 32m 09.1s,+46° 16′ 39″,,,,unknown,6171,unknown,3,
Kepler-192,Lyra,19h 11m 40.3s,+45° 35′ 34″,,,,unknown,5479,unknown,3,
Kepler-191,Cygnus,19h 24m 44.0s,+45° 19′ 23″,,,,0.85,5282,unknown,3,
Kepler-176,Cygnus,19h 38m 40.3s,+43° 51′ 12″,,,,unknown,5232,unknown,4,
Kepler-167,Cygnus,19h 30m 38.0s,+38° 20′ 43″,,,,0.76,4796,unknown,4,
Kepler-462,Cygnus,19h 59m 17.0s,+43° 48′ 51″,11.73,,,1.965,7717,unknown,2,
Kepler-539,Cygnus,19h 56m 29.0s,+41° 52′ 00″,12.5,,G2V,1.048,5820,1.1,2,
Kepler-431,Lyra,18h 44m 26.9s,+43° 13′ 40″,,,,1.071,6004,unknown,3,
Kepler-430,Cygnus,19h 31m 14.1s,+49° 34′ 46″,,,,1.166,5884,unknown,2,
Kepler-450,Cygnus,19h 41m 56.8s,+51° 00′ 49″,11.684,,,1.346,6152,unknown,3,
Kepler-449,Cygnus,19h 34m 55.9s,+41° 54′ 03″,11.411,,,0.969,5552,unknown,2,
Kepler-454,Lyra,19h 09m 55.0s,+38° 13′ 44″,11.57,,,1.028,5687,5.25,3,
Kepler-108,Cygnus,19h 09m 55.0s,+38° 13′ 44″,,,,0.87,5854,unknown,2,
Kepler-338,Lyra,18h 51m 54.9s,+40° 47′ 04″,,,,1.1,5923,unknown,4,
Kepler-278,Lyra,19h 20m 25.7s,+38° 42′ 08″,,,,unknown,4991,unknown,2,
Kepler-197,Cygnus,19h 40m 54.3s,+50° 33′ 32″,,,,unknown,6004,unknown,4,
Kepler-424,Cygnus,19h 54m 30.0s,+48° 34′ 39″,14.5,,,1.01,5460,unknown,2,
Kepler-419,Cygnus,19h 41m 40.0s,+51° 11′ 05″,14,3400,F8V,1.22,6230,2.8,2,
Kepler-418,Cygnus,19h 37m 44.0s,+38° 21′ 20″,15,,,0.98,5820,7,2,
Kepler-231,Cygnus,19h 35m 53.6s,+50° 31′ 55″,,,,0.58,3767,unknown,2,
Kepler-247,Lyra,19h 14m 34.2s,+43° 02′ 21″,,,,0.884,5094,unknown,3,
Kepler-227,Cygnus,19h 27m 44.2s,+48° 08′ 30″,,,,unknown,5854,unknown,2,
Kepler-210,Cygnus,19h 30m 01.0s,+43° 04′ 59″,14.4,,K,0.63,4300,unknown,2,-
Kepler-104,Lyra,19h 10m 25.1s,+42° 10′ 00″,,,,0.81,5711,unknown,3,-
Kepler-23,Cygnus,19h 36m 52.0s,+49° 28′ 45″,14,2790,G5V,1.11,5760,unknown,3,-
Kepler-107,Cygnus,19h 48m 06.8s,+48° 12′ 31″,12.7,1714,G2,1.238,5851,4.29,4,-
Kepler-126,Cygnus,19h 17m 23.4s,+44° 12′ 31″,,,,unknown,6239,unknown,3,-
Kepler-127,Lyra,19h 00m 45.6s,+46° 01′ 41″,,,,unknown,6106,unknown,3,-
Kepler-129,Draco,19h 01m 14.7s,+47° 50′ 55″,,,,1.18,5770,unknown,2,-
Kepler-130,Lyra,19h 13m 48.2s,+40° 14′ 43″,,,,1,5884,unknown,3,-
Kepler-163,Cygnus,19h 40m 00.7s,+46° 59′ 14″,,,,0.96,5776,unknown,2,-
Kepler-164,Lyra,19h 11m 07.4s,+47° 37′ 48″,,,,1.11,5888,unknown,3,-
Kepler-165,Draco,18h 42m 45.8s,+47° 48′ 35″,,,,unknown,5211,unknown,2,-
Kepler-168,Cygnus,19h 38m 50.4s,+39° 49′ 30″,,,,unknown,6282,unknown,2,-
Kepler-170,Lyra,18h 58m 05.1s,+41° 37′ 47″,,,,unknown,5679,unknown,2,-
Kepler-171,Cygnus,19h 47m 05.3s,+41° 45′ 20″,,,,unknown,5642,unknown,3,-
Kepler-172,Lyra,19h 47m 05.3s,+41° 45′ 20″,,,,0.86,5526,unknown,4,-
Kepler-173,Lyra,19h 38m 35.2s,+41° 53:03′,,,,0.78,6031,unknown,2,-
Kepler-174,Lyra,19h 09m 45.4s,+43° 49:56′,,,,unknown,4880,unknown,3,-
Kepler-175,Cygnus,19h 18m 12.8s,+43° 52′ 34″,,,,1.04,6064,unknown,2,-
Kepler-31,Cygnus,19h 36m 06.0s,+45° 51′ 11″,15.5,5700,G5,1.21,6340,unknown,3,
Kepler-162,Cygnus,19h 49m 06.9s,+43° 43′ 26″,,,,unknown,5816,unknown,2,
Kepler-161,Lyra,19h 22m 04.0s,+43° 05′ 02″,,,,0.77,5078,unknown,2,
Kepler-160,Lyra,19h 11m 05.7s,+42° 52′ 09″,13.1,3140,G2V,unknown,5857,unknown,2,
Kepler-159,Cygnus,19h 48m 16.8s,+40° 52′ 08″,,,,unknown,4625,unknown,2 (1),
Kepler-158,Lyra,18h 56m 07.7s,+39° 46′ 53″,,,,unknown,4623,unknown,2,
Kepler-156,Lyra,19h 21m 11.2s,+37° 44′ 58″,,,,unknown,5094,unknown,2,
Kepler-155,Cygnus,19h 13m 59.0s,+51° 04′ 55″,,,,0.58,4508,unknown,2,
Kepler-153,Draco,18h 49m 50.5s,+48° 15′ 26″,,,,unknown,5404,unknown,2,
Kepler-152,Lyra,19h 07m 27.7s,+41° 59′ 21″,,,,unknown,5088,unknown,2,
Kepler-151,Cygnus,19h 28m 39.1s,+41° 01′ 24″,,,,0.83,5460,unknown,2,
Kepler-150,Lyra,19h 12m 56.2s,+40° 31′ 15″,,,,unknown,5560,unknown,5,
Kepler-149,Lyra,19h 03m 24.9s,+38° 23′ 03″,,,,unknown,5381,unknown,3,
Kepler-148,Cygnus,19h 19m 08.7s,+46° 51′ 32″,,,,unknown,5272,unknown,3,
Kepler-147,Lyra,19h 11m 54.2s,+39° 05′ 14″,,,,1.01,6012,unknown,2,
Kepler-146,Cygnus,19h 36m 26.6s,+38° 42′ 37″,,,,unknown,5948,unknown,2,
Kepler-144,Lyra,18h 47m 39.8s,+42° 46′ 32″,,,,1.03,6075,unknown,2,
Kepler-143,Cygnus,19h 52m 16.3s,+49° 24′ 45″,,,,unknown,5848,unknown,2,
Kepler-142,Cygnus,19h 40m 28.5s,+48° 28′ 53″,,,,0.99,5790,unknown,3,
Kepler-141,Cygnus,19h 51m 53.0s,+47° 43′ 54″,,,,1,4910,unknown,2,
Kepler-140,Lyra,19h 09m 28.7s,+46° 46′ 06″,,,,unknown,6077,unknown,2,
Kepler-139,Lyra,18h 49m 34.1s,+43° 53′ 22″,,,,1.08,5594,unknown,2,
Kepler-137,Lyra,18h 48m 32.5s,+43° 02′ 21″,,,,unknown,5187,unknown,2,
Kepler-136,Cygnus,19h 45m 52.2s,+42° 35′ 56″,,,,1.2,6165,unknown,2,
Kepler-135,Lyra,19h 21m 58.8s,+38° 47′ 44″,,,,unknown,6090,unknown,2,
Kepler-134,Draco,18h 58m 57.4s,+49° 35′ 54″,,,,unknown,5983,unknown,2,
Kepler-133,Cygnus,19h 49m 06.7s,+48° 19′ 13″,,,,unknown,5736,unknown,2,
Kepler-125,Cygnus,19h 53m 01.9s,+47° 36′ 18″,,,,0.55,3810,unknown,2,
Kepler-124,Draco,19h 07m 00.7s,+49° 03′ 54″,,,,unknown,4984,unknown,3,
Kepler-123,Cygnus,19h 47m 59.7s,+42° 46′ 55″,,,,1.03,6089,unknown,2,
Kepler-121,Lyra,19h 04m 38.9s,+39° 40′ 41″,,,,unknown,5311,unknown,2,
Kepler-120,Lyra,19h 11m 34.0s,+39° 20′ 21″,,,,unknown,4096,unknown,2,
Kepler-119,Cygnus,19h 43m 47.1s,+42° 39′ 32″,,,,unknown,5595,unknown,2,
Kepler-118,Cygnus,19h 56m 51.2s,+41° 25′ 29″,,,,0.86,5274,unknown,2,
Kepler-117,Cygnus,19h 15m 10.3s,+48° 02′ 25″,,,,unknown,6169,unknown,2,
Kepler-116,Cygnus,19h 38m 58.1s,+43° 32′ 13″,,,,1.16,6142,unknown,2,
Kepler-115,Cygnus,19h 50m 50.8s,+45° 15′ 43″,,,,1,5979,unknown,2,
Kepler-112,Cygnus,19h 47m 55.4s,+43° 12′ 35″,,,,unknown,5544,unknown,2,
Kepler-111,Cygnus,19h 26m 36.8s,+44° 41′ 18″,,,,unknown,5952,unknown,2,
Kepler-110,Cygnus,19h 31m 43.0s,+48° 36′ 10″,,,,unknown,5960,unknown,2,
Kepler-405,Lyra,19h 25m 38.3s,+38° 20′ 24″,,,,unknown,5818,unknown,2,
Kepler-404,Lyra,19h 05m 35.7s,+45° 20′ 37″,,,,unknown,5654,unknown,2,
Kepler-402,Lyra,19h 13m 28.9s,+43° 21′ 17″,,,,unknown,6090,unknown,4,
Kepler-400,Lyra,19h 23m 46.7s,+40° 28′ 48″,,,,unknown,5886,unknown,2,
Kepler-399,Cygnus,19h 58m 00.4s,+40° 40′ 15″,,,,unknown,5502,unknown,3,
Kepler-397,Cygnus,19h 43m 34.6s,+42° 22′ 50″,,,,unknown,5307,unknown,2,
Kepler-395,Cygnus,19h 34m 02.7s,+45° 08′ 12″,,,,0.53,4262,unknown,2,
Kepler-394,Cygnus,19h 45m 12.5s,+50° 40′ 20″,,,,1.11,6402,unknown,2,
Kepler-393,Cygnus,19h 23m 58.9s,+45° 11′ 32″,,,,1.32,6189,unknown,2,
Kepler-392,Lyra,19h 14m 38.6s,+43° 22′ 05″,,,,1.13,5938,unknown,2,
Kepler-391,Cygnus,19h 22m 29.2s,+51° 03′ 26″,,,,1.22,4940,unknown,2,
Kepler-390,Lyra,19h 26m 30.9s,+41° 12′ 31″,,,,0.67,5166,unknown,2,
Kepler-389,Cygnus,19h 27m 50.4s,+44° 54′ 00″,,,,0.78,5376,unknown,2,
Kepler-388,Lyra,18h 59m 18.7s,+44° 36′ 31″,,,,0.59,4498,unknown,2,
Kepler-387,Lyra,19h 11m 11.6s,+45° 39′ 24″,,,,1.03,5774,unknown,2,
Kepler-386,Cygnus,19h 19m 26.1s,+48° 41′ 38″,,,,0.74,5178,unknown,2,
Kepler-385,Cygnus,19h 37m 21.2s,+50° 20′ 12″,,,,1.09,6326,unknown,2,
Kepler-384,Lyra,19h 04m 06.3s,+44° 46′ 58″,,,,0.76,5577,unknown,2,
Kepler-383,Lyra,19h 25m 22.2s,+38° 21′ 47″,,,,0.67,4710,unknown,2,
Kepler-382,Cygnus,19h 56m 32.7s,+45° 52′ 12″,,,,0.8,5600,unknown,2,
Kepler-381,Lyra,19h 00m 43.9s,+43° 49′ 52″,,,,1.34,6152,unknown,2,
Kepler-380,Draco,18h 49m 34.7s,+48° 45′ 33″,,,,1.05,6045,unknown,2,
Kepler-379,Cygnus,19h 42m 48.3s,+38° 56′ 45″,,,,1.08,6054,unknown,2,
Kepler-378,Cygnus,19h 39m 47.7s,+46° 26′ 19″,,,,0.96,4661,unknown,2,
Kepler-377,Cygnus,19h 41m 41.3s,+38° 44′ 08″,,,,0.88,5949,unknown,2,
Kepler-376,Lyra,19h 26m 25.7s,+38° 24′ 37″,,,,1.05,5900,unknown,2,
Kepler-375,Cygnus,19h 14m 28.3s,+48° 05′ 54″,,,,0.89,5826,unknown,2,
Kepler-374,Cygnus,19h 36m 33.1s,+42° 22′ 14″,,,,0.84,5977,unknown,3,
Kepler-373,Cygnus,19h 17m 33.1s,+50° 35′ 49″,,,,0.87,5787,unknown,2,
Kepler-372,Cygnus,19h 25m 01.5s,+49° 15′ 32″,,,,1.15,6509,unknown,3,
Kepler-371,Cygnus,19h 29m 18.4s,+38° 39′ 27″,,2720,,0.94,5666,unknown,2,
Kepler-370,Cygnus,19h 28m 41.1s,+40° 54′ 59″,,,,0.94,5852,unknown,2,
Kepler-369,Cygnus,19h 34m 41.8s,+47° 54′ 30″,,,,0.54,3591,unknown,2,
Kepler-368,Cygnus,19h 27m 31.2s,+45° 23′ 17″,,,,0.71,5502,unknown,2,
Kepler-367,Cygnus,19h 49m 10.2s,+49° 58′ 54″,,,,0.75,4710,unknown,2,
Kepler-366,Cygnus,19h 47m 24.5s,+49° 05′ 04″,,,,1.05,6209,unknown,2,
Kepler-365,Cygnus,19h 42m 30.4s,+49° 07′ 50″,,,,0.99,6012,unknown,2,
Kepler-364,Lyra,18h 46m 16.8s,+47° 23′ 55″,,,,1.2,6108,unknown,2,
Kepler-363,Lyra,18h 52m 46.1s,+41° 18′ 19″,,,,1.23,5593,unknown,3,
Kepler-362,Cygnus,19h 27m 05.2s,+47° 31′ 48″,,,,0.77,5788,unknown,2,
Kepler-361,Cygnus,19h 47m 12.8s,+46° 44′ 28″,,,,1.07,6169,unknown,2,
Kepler-360,Lyra,19h 05m 08.3s,+44° 46′ 54″,,,,0.95,6053,unknown,2,
Kepler-359,Cygnus,19h 33m 10.5s,+42° 11′ 47″,,,,1.07,6248,unknown,3,
Kepler-358,Cygnus,19h 32m 55.3s,+48° 16′ 53″,,,,0.95,5908,unknown,2,
Kepler-357,Cygnus,19h 24m 58.3s,+44° 00′ 31″,,,,0.78,5036,unknown,3,
Kepler-356,Cygnus,19h 29m 41.1s,+37° 40′ 58″,,,,0.97,6133,unknown,2,
Kepler-355,Lyra,19h 03m 11.9s,+42° 48′ 42″,,,,1.05,6184,unknown,2,
Kepler-354,Lyra,19h 03m 00.4s,+41° 20′ 08″,,,,0.65,4648,unknown,3,
Kepler-353,Cygnus,19h 47m 25.6s,+41° 45′ 29″,,,,0.54,3903,unknown,2,
Kepler-352,Cygnus,19h 59m 35.2s,+46° 03′ 07″,,,,0.79,5212,unknown,2,
Kepler-69,Cygnus,19h 33m 03.0s,+44° 52′ 08″,13.7,2430,G4V,0.81,5638,0.4,2,
Kepler-80,Cygnus,19h 44m 27.0s,+39° 58′ 44″,14.804,1218,M0V,0.73,4250,unknown,6,-
Kepler-953,Cygnus,19h 15m 53.0s,+44° 37′ 28″,,,,0.94,5114,unknown,2,-
Kepler-29,Cygnus,19h 53m 24.0s,+47° 29′ 28″,15.5,2780,G5V,1,5750,unknown,2,
Kepler-206,Lyra,19h 26m 32.3s,+41° 50′ 02″,,,,0.94,5764,unknown,3,
Kepler-205,Lyra,19h 01m 08.9s,+41° 51′ 40″,,,,unknown,4321,unknown,2,
Kepler-204,Lyra,19h 01m 23.3s,+41° 45′ 43″,,,,0.96,5812,unknown,2,
Kepler-203,Cygnus,19h 01m 23.3s,+41° 45′ 43″,,,,0.98,5821,unknown,3,
Kepler-202,Lyra,18h 51m 53.6s,+41° 19′ 19″,,,,unknown,4668,unknown,2,
Kepler-201,Cygnus,19h 34m 30.2s,+41° 16′ 22″,,,,1.17,6065,unknown,2,
Kepler-200,Lyra,18h 57m 38.4s,+41° 14′ 15″,,,,unknown,5678,unknown,2,
Kepler-199,Cygnus,19h 42m 14.3s,+40° 14′ 11″,,,,unknown,5644,unknown,2,
Kepler-196,Lyra,18h 59m 52.4s,+42° 04′ 45″,,,,unknown,5128,unknown,2,
Kepler-195,Cygnus,19h 12m 29.0s,+47° 58′ 00″,,,,unknown,5329,unknown,2,
Kepler-194,Cygnus,19h 27m 53.1s,+47° 51′ 51″,,,,unknown,6089,unknown,3,
Kepler-193,Cygnus,19h 45m 59.7s,+46° 34′ 38″,,,,unknown,6335,unknown,2,
Kepler-190,Cygnus,19h 14m 20.2s,+44° 44′ 02″,,,,0.84,5106,unknown,2,
Kepler-189,Lyra,19h 10m 15.5s,+44° 18′ 18″,,,,0.79,5235,unknown,2,
Kepler-188,Lyra,18h 45m 07.1s,+44° 18′ 56″,,,,unknown,6021,unknown,2,
Kepler-187,Cygnus,19h 59m 11.1s,+44° 05′ 22″,,,,0.85,6105,unknown,2,
Kepler-185,Lyra,18h 49m 52.3s,+43° 53′ 24″,,,,0.79,5208,unknown,2,
Kepler-184,Lyra,19h 27m 48.5s,+43° 04′ 29″,,,,unknown,5788,unknown,3,
Kepler-183,Cygnus,19h 34m 07.4s,+39° 18′ 57″,,,,unknown,5888,unknown,2,
Kepler-182,Cygnus,19h 19m 19.2s,+50° 35′ 10″,,5300,,1.14,6250,unknown,2,
Kepler-181,Cygnus,19h 44:36.3m,+50° 05′ 45″,,,,unknown,5333,unknown,2,
Kepler-180,Cygnus,19h 42m 17.1s,+49° 46′ 29″,,,,0.84,5731,unknown,2,
Kepler-179,Cygnus,19h 54m 39.3s,+47° 45′ 43″,,,,unknown,5302,unknown,2,
Kepler-178,Lyra,19h 08m 24.3s,+46° 53′ 47″,,,,unknown,5676,unknown,3,
Kepler-336,Lyra,19h 20m 57.0s,+41° 19′ 53″,,,,0.89,5867,unknown,3,
Kepler-335,Cygnus,19h 44m 15.4s,+45° 25′ 43″,,,,0.99,5877,unknown,2,
Kepler-334,Lyra,19h 08m 33.8s,+47° 06′ 55″,,,,1,5828,unknown,3,
Kepler-333,Cygnus,19h 29m 08.7s,+40° 54′ 49″,,,,0.54,4259,unknown,2,
